日付,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,香港ドル,インドルピー,フィリピンペソ,シンガポールドル,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,インドネシアルピア,台湾ドル
2002/9/19,121.9,188.96,119.22,77.26,81.26,13.1,16.05,16.25,66.87,57.45,11.54,324.03,15.63,2.53,2.34,68.75,2.84,406.33,32.52,33.2,12.2,1.37,3.53
2002/9/20,121.85,189.81,120.25,77.37,82.2,13.22,16.2,16.37,66.91,57.71,11.56,323.9,15.62,2.53,2.34,68.64,2.82,406.44,32.51,33.16,11.99,1.37,3.53
2002/9/24,123.7,191.76,120.73,78.12,82.52,13.33,16.26,16.46,67.06,57.92,11.58,328.81,15.86,2.57,2.37,69.45,2.85,410.69,33,33.69,12.1,1.37,3.56
2002/9/25,123.15,192.27,120.98,77.58,82.72,13.3,16.3,16.54,67.19,58.09,11.57,327.35,15.79,2.56,2.36,69.15,2.84,410.5,32.85,33.54,11.98,1.37,3.55
2002/9/26,122.6,191.08,119.83,77.55,81.84,13.09,16.14,16.4,66.88,57.83,11.65,325.89,15.72,2.55,2.35,68.76,2.83,408.8,32.71,33.39,12.01,1.38,3.53
2002/9/27,122.4,190.81,119.57,77.75,81.5,13.05,16.11,16.32,66.6,57.5,11.64,325.36,15.69,2.54,2.35,68.79,2.82,408,32.65,33.33,12.12,1.38,3.51
2002/9/30,122.6,191.5,120.32,77.61,82.15,13.17,16.21,16.42,66.62,57.56,11.66,325.89,15.72,2.55,2.35,68.98,2.83,407.31,32.71,33.39,12.04,1.37,3.53
2002/10/1,122.15,191.89,120.62,76.91,82.87,13.18,16.25,16.53,66.27,57.37,11.61,324.69,15.66,2.54,2.34,68.5,2.82,406.22,32.59,33.26,12.01,1.37,3.51
2002/10/2,122.85,191.94,120.63,77.68,82.4,13.35,16.26,16.52,66.97,58.24,11.83,326.56,15.75,2.55,2.35,68.67,2.82,408.28,32.78,33.46,12.18,1.38,3.53
2002/10/3,122.95,192.9,121.35,77.35,83.18,13.35,16.34,16.61,66.98,58.23,11.83,326.82,15.76,2.56,2.34,68.91,2.83,410.24,32.8,33.48,12.18,1.39,3.53
